title,year,genre,cast_hint,director,plot_hint,tagline_text
2001: A Space Odyssey,1968,"Science Fiction, Mystery, Adventure","Keir Dullea, Gary Lockwood, William Sylvester",Stanley Kubrick,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",An epic drama of adventure and exploration.
A Clockwork Orange,1971,"Science Fiction, Crime","Malcolm McDowell, Patrick Magee, Carl Duering",Stanley Kubrick,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?","Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven."
A Nightmare on Elm Street,1984,Horror,"John Saxon, Ronee Blakley, Heather Langenkamp",Wes Craven,"Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...","If Nancy doesn't wake up screaming, she won't wake up at all."
A Quiet Place,2018,"Horror, Drama, Science Fiction","Emily Blunt, John Krasinski, Millicent Simmonds",John Krasinski,A family is forced to live in silence while hiding from creatures that hunt by sound.,"If they hear you, they hunt you."
Alien,1979,"Horror, Science Fiction","Tom Skerritt, Sigourney Weaver, Veronica Cartwright",Ridley Scott,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",In space no one can hear you scream.
American Beauty,1999,Drama,"Kevin Spacey, Annette Bening, Thora Birch",Sam Mendes,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",... look closer
Anchorman: The Legend of Ron Burgundy,2004,Comedy,"Will Ferrell, Christina Applegate, Paul Rudd",Adam McKay,"It's the 1970s and San Diego anchorman Ron Burgundy is the top dog in local TV, but that's all about to change when ambitious reporter Veronica Corningstone arrives as a new employee at his station.",They bring you the news so you don't have to get it yourself.
Avatar,2009,"Action, Adventure, Science Fiction","Sam Worthington, Zoe Saldaña, Sigourney Weaver",James Cameron,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the world of Pandora.
Avengers: Endgame,2019,"Adventure, Science Fiction, Action","Robert Downey Jr., Chris Evans, Mark Ruffalo","Anthony Russo, Joe Russo","After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Avenge the fallen.
Back to the Future,1985,Sci-Fi / Adventure,"Michael J. Fox, Christopher Lloyd",Robert Zemeckis,A teenager travels back in time and must ensure his parents fall in love.,He's the only kid ever to get into trouble before he was born.
Batman Begins,2005,"Drama, Crime, Action","Christian Bale, Michael Caine, Liam Neeson",Christopher Nolan,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",Evil fears the knight.
Beetlejuice,1988,"Fantasy, Comedy","Alec Baldwin, Geena Davis, Winona Ryder",Tim Burton,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,In this house... if you've seen one ghost... you haven't seen them all.
Black Panther,2018,"Action, Adventure, Science Fiction","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o",Ryan Coogler,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",Long live the king.
Blade Runner,1982,"Science Fiction, Drama, Thriller","Harrison Ford, Rutger Hauer, Sean Young",Ridley Scott,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",Man has made his match... now it's his problem.
Blade Runner 2049,2017,"Science Fiction, Drama","Ryan Gosling, Harrison Ford, Ana de Armas",Denis Villeneuve,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",The key to the future is finally unearthed.
